DATE,City,"Agriculture, Forestry, Fishing and Hunting",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Federal Government,Local Government,State Government,Not Elsewhere Classified,"Mining, Quarrying, and Oil and Gas Extraction"
13-Dec,Indio,721,NA,2285,384,332,3037,121,163,199,525,373,11,1415,122,1894,654,1846,549,297,2886,NA,80,NA
13-Jan,La Quinta,NA,NA,343,50,39,2552,46,45,207,132,369,NA,321,46,482,810,2784,315,NA,1937,NA,49,NA
13-Feb,La Quinta,NA,NA,347,54,46,2580,50,46,206,132,394,NA,324,58,483,804,2858,323,NA,1915,NA,48,NA
13-Mar,La Quinta,NA,NA,349,55,35,2552,50,47,203,134,397,NA,329,58,497,806,2857,329,NA,1918,NA,39,NA
13-Apr,La Quinta,NA,NA,363,53,32,2561,37,43,179,140,376,NA,309,57,505,795,2895,328,NA,1994,NA,40,NA
13-May,La Quinta,NA,NA,378,59,31,2532,40,43,178,141,368,NA,310,62,522,744,2795,329,NA,1991,NA,46,NA
13-Jun,La Quinta,NA,NA,391,53,35,2475,35,43,167,135,371,NA,303,67,528,621,2655,319,NA,1988,NA,41,NA
13-Jul,La Quinta,NA,NA,356,47,48,2484,48,42,156,140,378,NA,300,63,555,525,2473,311,NA,1822,NA,44,NA
13-Aug,La Quinta,NA,NA,347,42,59,2464,49,41,161,137,366,NA,297,67,558,522,2465,298,NA,1825,NA,41,NA
13-Sep,La Quinta,NA,NA,359,45,55,2443,51,40,159,129,365,NA,308,56,559,539,2504,302,NA,1828,NA,43,NA
13-Oct,La Quinta,NA,NA,357,46,42,2506,53,43,156,126,393,NA,351,61,570,597,2614,308,NA,1897,NA,59,NA
13-Nov,La Quinta,NA,NA,387,49,41,2716,55,42,156,134,381,NA,381,57,586,810,2766,313,NA,1890,NA,71,NA
13-Dec,La Quinta,NA,NA,394,47,36,2754,54,42,151,132,371,NA,385,61,593,833,2882,327,NA,1898,NA,85,NA
13-Jan,Palm Desert,NA,NA,1324,273,523,5343,349,746,779,593,1013,113,2473,320,5380,2113,5453,2128,NA,1342,NA,90,NA
13-Feb,Palm Desert,NA,NA,1302,288,527,5310,347,743,789,602,1038,114,2555,332,5376,2156,5581,2130,NA,1344,NA,93,NA
13-Mar,Palm Desert,NA,NA,1351,306,524,5255,338,738,771,595,1030,115,2898,330,5358,2082,5696,2138,NA,1342,NA,88,NA
13-Apr,Palm Desert,NA,NA,1367,308,528,5190,407,743,805,602,1038,124,2698,321,5358,2132,5774,2167,NA,1339,NA,96,NA
13-May,Palm Desert,NA,NA,1322,293,539,5089,409,749,799,601,1034,134,2341,317,5430,2049,5632,2151,NA,1333,NA,109,NA
13-Jun,Palm Desert,NA,NA,1373,286,533,5021,401,721,796,574,1024,131,2406,310,5420,1629,5383,2070,NA,1332,NA,94,NA
13-Jul,Palm Desert,NA,NA,1381,220,547,4924,335,701,827,584,1024,139,2285,254,5445,1531,4982,2010,NA,1332,NA,81,NA
13-Aug,Palm Desert,NA,NA,1442,213,540,4877,330,695,838,576,1040,135,2321,248,5451,1470,4911,1990,NA,1325,NA,78,NA
13-Sep,Palm Desert,NA,NA,1447,251,535,4996,340,701,837,596,1045,139,2358,304,5472,1484,5026,1992,NA,1310,NA,76,NA
13-Oct,Palm Desert,NA,NA,1477,234,533,5442,376,715,779,627,1051,135,2336,336,5534,1715,5297,2024,NA,1328,NA,117,NA
13-Nov,Palm Desert,NA,NA,1473,252,534,6204,382,724,785,650,1055,124,2348,351,5574,2158,5553,2103,NA,1341,NA,121,NA
13-Dec,Palm Desert,NA,NA,1480,253,540,6415,382,705,776,652,1066,127,2356,339,5554,2184,5639,2114,NA,1343,NA,136,NA
13-Jan,Palm Springs,NA,NA,856,510,291,2223,938,434,444,535,822,NA,885,105,5129,736,4975,701,188,2862,NA,81,NA
13-Feb,Palm Springs,NA,NA,814,533,305,2275,988,434,439,561,849,NA,849,109,5180,713,5094,719,186,2874,NA,83,NA
13-Mar,Palm Springs,NA,NA,848,533,307,2310,985,430,460,552,864,NA,892,113,5235,886,5187,733,185,2871,NA,67,NA
13-Apr,Palm Springs,NA,NA,859,529,299,2344,970,414,447,540,882,NA,875,117,5243,892,5295,732,187,2881,NA,85,NA
13-May,Palm Springs,NA,NA,894,527,303,2320,952,416,449,528,708,NA,857,106,5239,871,5151,699,186,2881,NA,80,NA
13-Jun,Palm Springs,NA,NA,873,517,298,2281,910,411,439,528,684,NA,840,110,5219,793,4897,699,182,2873,NA,64,NA
13-Jul,Palm Springs,NA,NA,909,513,297,2259,852,414,438,498,662,NA,815,98,5295,779,4706,678,182,2810,NA,59,NA
13-Aug,Palm Springs,NA,NA,951,515,306,2224,880,403,438,493,667,NA,860,89,5361,704,4576,663,184,2815,NA,60,NA
13-Sep,Palm Springs,NA,NA,909,522,302,2261,895,397,451,489,702,NA,885,104,5374,700,4811,672,183,2832,NA,51,NA
13-Oct,Palm Springs,NA,NA,954,523,306,2321,924,401,441,508,690,NA,916,105,5378,598,4907,711,183,2926,NA,121,NA
13-Nov,Palm Springs,NA,NA,945,516,315,2415,986,402,442,513,740,NA,944,102,5411,632,5124,707,181,2933,NA,140,NA
13-Dec,Palm Springs,NA,NA,953,525,309,2465,1074,389,448,525,854,NA,925,94,5451,627,5124,700,183,2950,NA,191,NA
13-Jan,Rancho Mirage,NA,NA,90,28,90,941,18,158,193,207,440,NA,247,126,2283,1060,2979,321,NA,NA,NA,30,NA
13-Feb,Rancho Mirage,NA,NA,90,25,92,959,21,152,196,207,443,NA,276,133,2243,1065,2950,322,NA,NA,NA,34,NA
13-Mar,Rancho Mirage,NA,NA,85,26,88,968,23,149,190,208,442,NA,294,137,2237,1067,2984,316,NA,NA,NA,31,NA
13-Apr,Rancho Mirage,NA,NA,93,27,89,957,23,151,191,212,452,NA,384,132,2245,1036,2934,303,NA,NA,NA,34,NA
13-May,Rancho Mirage,NA,NA,115,40,97,892,20,161,183,215,445,NA,384,133,2266,923,2872,304,NA,NA,NA,32,NA
13-Jun,Rancho Mirage,NA,NA,104,22,97,856,21,159,186,217,436,NA,390,132,2240,673,2787,302,NA,NA,NA,29,NA
13-Jul,Rancho Mirage,NA,NA,113,31,99,864,16,155,190,212,442,NA,374,121,2217,629,2130,291,NA,NA,NA,22,NA
13-Aug,Rancho Mirage,NA,NA,116,30,99,842,16,152,186,212,446,NA,377,120,2207,615,2107,289,NA,NA,NA,23,NA
13-Sep,Rancho Mirage,NA,NA,122,36,99,858,17,142,191,216,452,NA,385,125,2206,663,2124,291,NA,NA,NA,23,NA
13-Oct,Rancho Mirage,NA,NA,132,38,100,856,24,145,191,196,377,NA,399,134,2195,748,2116,293,NA,NA,NA,48,NA
13-Nov,Rancho Mirage,NA,NA,131,45,96,885,23,154,184,199,377,NA,418,136,2195,1047,2193,305,NA,NA,NA,48,NA
13-Dec,Rancho Mirage,NA,NA,119,46,96,896,22,153,184,197,384,NA,419,129,2209,1063,2223,307,NA,NA,NA,53,NA
14-Jan,Cathedral City,NA,NA,635,51,75,2440,46,86,258,219,89,NA,877,57,930,95,1149,773,NA,838,NA,40,NA
14-Feb,Cathedral City,NA,NA,662,53,74,2437,43,82,261,216,96,NA,889,57,972,103,1151,779,NA,835,NA,43,NA
14-Mar,Cathedral City,NA,NA,665,53,75,2413,43,81,265,217,101,NA,860,59,961,104,1196,836,NA,837,NA,45,NA
14-Apr,Cathedral City,NA,NA,663,52,78,2436,49,81,265,208,95,NA,926,60,1011,101,1212,778,NA,835,NA,23,NA
14-May,Cathedral City,NA,NA,711,52,78,2407,49,82,276,209,101,NA,929,57,1020,103,1213,749,NA,833,NA,25,NA
14-Jun,Cathedral City,NA,NA,683,53,78,2386,51,86,275,205,104,NA,810,50,1005,96,1184,623,NA,835,NA,26,NA
14-Jul,Cathedral City,NA,NA,611,47,84,2484,48,90,278,206,111,NA,879,34,960,96,1164,663,NA,831,NA,34,NA
14-Aug,Cathedral City,NA,NA,622,51,83,2533,48,92,286,205,109,NA,844,53,952,99,1103,649,NA,831,NA,42,NA
14-Sep,Cathedral City,NA,NA,628,47,83,2473,47,85,277,207,111,NA,808,57,960,101,1117,638,NA,834,NA,43,NA
14-Oct,Cathedral City,NA,NA,639,50,84,2537,49,86,277,207,104,NA,867,55,954,118,1152,674,NA,851,NA,45,NA
14-Nov,Cathedral City,NA,NA,667,53,84,2580,53,82,280,207,105,NA,882,58,927,118,1166,737,NA,852,NA,49,NA
14-Dec,Cathedral City,NA,NA,530,51,83,2593,53,87,276,199,105,NA,833,56,966,117,1187,734,NA,853,NA,53,NA
14-Jan,Coachella,1615,NA,342,759,299,1073,23,NA,70,77,51,NA,133,NA,362,NA,497,95,NA,2297,NA,NA,NA
14-Feb,Coachella,1537,NA,350,765,293,1085,23,NA,69,81,53,NA,133,NA,362,NA,527,96,NA,2341,NA,NA,NA
14-Mar,Coachella,1530,NA,336,757,292,1167,28,NA,71,78,53,NA,141,NA,357,NA,533,102,NA,2368,NA,NA,NA
14-Apr,Coachella,1309,NA,290,806,289,1187,30,NA,71,89,54,NA,502,NA,392,NA,537,114,NA,2393,NA,NA,NA
14-May,Coachella,1575,NA,282,806,290,1206,35,NA,73,92,47,NA,132,NA,393,NA,530,108,NA,2412,NA,NA,NA
14-Jun,Coachella,1784,NA,288,794,292,1232,42,NA,69,84,42,NA,128,NA,398,NA,533,98,NA,2387,NA,NA,NA
14-Jul,Coachella,1236,NA,318,803,291,1196,43,NA,74,81,42,NA,130,NA,402,NA,509,101,NA,2359,NA,NA,NA
14-Aug,Coachella,1151,NA,334,788,296,1155,43,NA,71,83,25,NA,137,NA,404,NA,506,92,NA,2343,NA,NA,NA
14-Sep,Coachella,1424,NA,359,774,292,1149,48,NA,76,81,25,NA,142,NA,387,NA,500,95,NA,2344,NA,NA,NA
14-Oct,Coachella,1560,NA,351,784,288,1129,50,NA,73,84,38,NA,203,NA,390,NA,521,94,NA,2337,NA,NA,NA
14-Nov,Coachella,1101,NA,348,781,286,1127,46,NA,69,89,27,NA,192,NA,385,NA,527,90,NA,2340,NA,NA,NA
14-Dec,Coachella,1450,NA,338,782,288,1149,39,NA,73,89,26,NA,167,NA,382,NA,526,92,NA,2308,NA,NA,NA
14-Jan,Desert Hot Springs,NA,NA,203,19,16,469,34,NA,NA,67,47,NA,105,NA,812,106,733,78,NA,642,NA,26,NA
14-Feb,Desert Hot Springs,NA,NA,211,16,18,471,32,NA,NA,65,56,NA,87,NA,811,107,725,79,NA,642,NA,26,NA
14-Mar,Desert Hot Springs,NA,NA,223,15,25,463,32,NA,NA,67,54,NA,95,NA,806,103,731,80,NA,640,NA,26,NA
14-Apr,Desert Hot Springs,NA,NA,222,14,29,465,32,NA,NA,70,51,NA,100,NA,833,103,721,70,NA,640,NA,7,NA
14-May,Desert Hot Springs,NA,NA,227,10,27,461,32,NA,NA,67,33,NA,102,NA,847,100,692,69,NA,638,NA,14,NA
14-Jun,Desert Hot Springs,NA,NA,220,6,29,461,32,NA,NA,63,30,NA,100,NA,853,94,695,66,NA,640,NA,18,NA
14-Jul,Desert Hot Springs,NA,NA,219,6,25,479,33,NA,NA,66,32,NA,95,NA,838,93,686,67,NA,645,NA,16,NA
14-Aug,Desert Hot Springs,NA,NA,229,6,25,471,32,NA,NA,68,31,NA,88,NA,877,95,684,61,NA,646,NA,14,NA
14-Sep,Desert Hot Springs,NA,NA,238,8,26,477,30,NA,NA,70,30,NA,84,NA,894,94,706,57,NA,646,NA,19,NA
14-Oct,Desert Hot Springs,NA,NA,245,10,27,468,30,NA,NA,72,27,NA,138,NA,885,96,681,51,NA,675,NA,33,NA
14-Nov,Desert Hot Springs,NA,NA,259,11,28,487,30,NA,NA,73,30,NA,91,NA,878,103,694,53,NA,673,NA,36,NA
14-Dec,Desert Hot Springs,NA,NA,271,13,30,482,31,NA,NA,77,29,NA,96,NA,890,103,704,46,NA,669,NA,38,NA
14-Jan,Indian Wells,NA,NA,15,NA,NA,82,NA,NA,183,61,129,NA,176,NA,171,1127,1360,133,NA,NA,NA,6,NA
14-Feb,Indian Wells,NA,NA,13,NA,NA,86,NA,NA,188,61,129,NA,193,NA,166,1242,1422,134,NA,NA,NA,10,NA
14-Mar,Indian Wells,NA,NA,14,NA,NA,86,NA,NA,188,59,126,NA,212,NA,171,1350,1499,136,NA,NA,NA,7,NA
14-Apr,Indian Wells,NA,NA,10,NA,NA,94,NA,NA,183,55,132,NA,197,NA,165,1100,1476,133,NA,NA,NA,3,NA
14-May,Indian Wells,NA,NA,11,NA,NA,96,NA,NA,184,57,124,NA,160,NA,160,1019,1453,132,NA,NA,NA,2,NA
14-Jun,Indian Wells,NA,NA,10,NA,NA,87,NA,NA,187,58,131,NA,161,NA,168,605,1378,133,NA,NA,NA,3,NA
14-Jul,Indian Wells,NA,NA,11,NA,NA,91,NA,NA,178,53,128,NA,240,NA,165,558,1301,118,NA,NA,NA,14,NA
14-Aug,Indian Wells,NA,NA,12,NA,NA,89,NA,NA,178,55,127,NA,225,NA,175,545,1257,121,NA,NA,NA,15,NA
14-Sep,Indian Wells,NA,NA,14,NA,NA,90,NA,NA,179,54,127,NA,226,NA,172,551,1265,118,NA,NA,NA,15,NA
14-Oct,Indian Wells,NA,NA,15,NA,NA,81,NA,NA,178,54,132,NA,213,NA,170,806,1363,124,NA,NA,NA,15,NA
14-Nov,Indian Wells,NA,NA,19,NA,NA,88,NA,NA,181,57,135,NA,221,NA,168,1178,1379,127,NA,NA,NA,15,NA
14-Dec,Indian Wells,NA,NA,17,NA,NA,86,NA,NA,181,56,134,NA,233,NA,168,1260,1364,133,NA,NA,NA,19,NA
14-Jan,Indio,673,NA,2192,375,326,2937,108,192,209,547,403,12,1372,105,2000,752,1943,576,NA,2799,NA,51,NA
14-Feb,Indio,528,NA,2140,377,348,2935,122,194,210,552,418,12,1366,139,2000,829,2048,565,NA,2810,NA,59,NA
14-Mar,Indio,624,NA,2171,391,354,2928,124,192,208,563,415,12,1346,127,2016,820,2080,576,NA,2825,NA,45,NA
14-Apr,Indio,716,NA,2254,412,353,2936,153,201,205,544,416,15,1330,138,2061,664,2005,573,NA,2925,NA,34,NA
14-May,Indio,967,NA,2377,428,359,2900,169,195,203,536,387,18,1338,143,2049,608,1975,557,NA,2928,NA,40,NA
14-Jun,Indio,944,NA,2405,440,361,2916,177,193,205,540,361,19,1352,143,2083,545,1904,558,NA,2967,NA,57,NA
14-Jul,Indio,620,NA,2493,409,410,2845,175,197,205,562,331,18,1361,123,2114,474,1778,516,NA,2893,NA,24,NA
14-Aug,Indio,575,NA,2558,407,409,3091,174,188,208,548,328,12,1368,118,2115,474,1883,512,NA,2918,NA,29,NA
14-Sep,Indio,582,NA,2486,400,415,3194,181,187,198,544,338,12,1362,123,2071,496,1930,525,NA,2879,NA,25,NA
14-Oct,Indio,572,NA,2410,356,418,3151,176,192,201,513,337,12,1480,160,2099,493,1978,510,NA,2951,NA,83,NA
14-Nov,Indio,502,NA,2440,381,421,3230,177,210,199,516,357,12,1511,160,2104,612,2006,556,NA,2955,NA,88,NA
14-Dec,Indio,714,NA,2451,359,418,3257,180,211,205,525,348,29,1454,153,2115,606,1975,560,NA,2966,NA,78,NA
14-Jan,La Quinta,NA,NA,427,55,50,2602,47,59,160,178,372,NA,335,58,568,850,3100,296,NA,1940,NA,38,NA
14-Feb,La Quinta,NA,NA,418,57,52,2582,47,55,165,176,406,NA,346,56,578,848,3168,272,NA,1937,NA,39,NA
14-Mar,La Quinta,NA,NA,422,58,45,2588,50,56,157,174,397,NA,340,59,579,860,3279,271,NA,1937,NA,30,NA
14-Apr,La Quinta,NA,NA,437,76,45,2572,48,64,168,170,397,NA,311,60,600,832,3415,278,NA,2013,NA,14,NA
14-May,La Quinta,NA,NA,447,70,47,2513,49,64,169,166,367,NA,324,59,623,779,3565,275,NA,2035,NA,14,NA
14-Jun,La Quinta,NA,NA,409,68,53,2457,43,64,173,162,367,NA,318,59,618,675,3483,269,NA,2020,NA,14,NA
14-Jul,La Quinta,NA,NA,421,47,57,2501,21,63,189,168,349,NA,304,58,630,556,2767,245,NA,1819,NA,20,NA
14-Aug,La Quinta,NA,NA,486,45,53,2438,19,64,190,163,343,NA,299,59,641,550,2707,255,NA,1813,NA,25,NA
14-Sep,La Quinta,NA,NA,478,48,53,2419,24,63,183,162,333,NA,297,51,619,579,2754,262,NA,1816,NA,27,NA
14-Oct,La Quinta,NA,NA,538,57,50,2500,37,65,186,210,326,NA,305,59,650,616,3027,242,NA,1921,NA,52,NA
14-Nov,La Quinta,NA,NA,515,55,50,2689,38,63,179,211,320,NA,345,57,663,883,3336,255,NA,1930,NA,56,NA
14-Dec,La Quinta,NA,NA,506,56,52,2707,38,62,182,201,324,NA,354,63,632,908,3483,254,NA,1933,NA,71,NA
14-Jan,Palm Desert,NA,NA,1554,254,504,6090,365,688,806,788,1104,NA,2315,315,5327,2217,5805,2239,NA,1347,NA,63,NA
14-Feb,Palm Desert,NA,NA,1546,254,498,5877,368,702,793,796,1150,NA,2409,307,5345,2276,5947,2262,NA,1348,NA,67,NA
14-Mar,Palm Desert,NA,NA,1537,255,498,5814,375,704,791,808,1134,NA,2946,321,5378,2213,6066,2277,NA,1348,NA,72,NA
14-Apr,Palm Desert,NA,NA,1531,256,501,5819,379,684,776,797,1149,NA,2814,312,5423,2191,6019,2185,NA,1349,NA,54,NA
14-May,Palm Desert,NA,NA,1514,238,519,5649,382,691,766,794,1128,NA,2352,315,5447,2064,5905,2087,NA,1347,NA,65,NA
14-Jun,Palm Desert,NA,NA,1506,232,502,5545,377,670,765,760,1117,NA,2417,285,5425,1660,5625,2016,NA,1352,NA,60,NA
14-Jul,Palm Desert,NA,NA,1504,218,440,5408,319,549,755,738,1022,NA,2123,249,2604,1626,5335,1911,NA,1257,NA,78,NA
14-Aug,Palm Desert,NA,NA,1466,233,437,5465,309,553,759,732,1070,NA,2157,248,2601,1564,5213,1881,NA,1246,NA,84,NA
14-Sep,Palm Desert,NA,NA,1534,250,434,5460,322,535,747,757,1094,NA,2214,310,2589,1591,5344,1922,NA,1329,NA,89,NA
14-Oct,Palm Desert,NA,NA,1593,275,437,5832,331,544,721,762,1125,NA,2381,325,2598,1833,5521,1981,NA,1298,NA,138,NA
14-Nov,Palm Desert,NA,NA,1594,266,438,6547,340,560,722,781,1119,NA,2464,317,2600,2236,5899,2067,NA,1305,NA,147,NA
14-Dec,Palm Desert,NA,NA,1557,271,443,6654,335,573,714,755,1137,NA,2450,321,2610,2182,5976,2078,NA,1307,NA,160,NA
14-Jan,Palm Springs,NA,NA,875,556,265,2393,1024,407,438,512,749,NA,874,102,5558,721,5436,714,148,2973,NA,61,NA
14-Feb,Palm Springs,NA,NA,909,553,267,2424,1049,393,444,519,758,NA,904,102,5584,642,5573,726,148,2966,NA,69,NA
14-Mar,Palm Springs,NA,NA,910,552,260,2427,1003,393,421,522,749,NA,910,96,5587,800,5705,734,146,2944,NA,63,NA
14-Apr,Palm Springs,NA,NA,928,556,259,2442,976,391,412,499,783,NA,962,101,5597,813,5750,741,148,2976,NA,33,NA
14-May,Palm Springs,NA,NA,891,546,268,2415,974,386,417,483,769,NA,923,101,5556,718,5598,721,147,2967,NA,37,NA
14-Jun,Palm Springs,NA,NA,881,532,272,2358,961,391,408,485,758,NA,935,102,5539,736,5429,690,147,2941,NA,39,NA
14-Jul,Palm Springs,NA,NA,909,515,263,2278,862,465,417,477,752,NA,911,84,8352,695,5074,660,148,2845,NA,44,NA
14-Aug,Palm Springs,NA,NA,912,517,268,2271,883,461,410,471,735,NA,902,81,8422,621,5031,663,149,2826,NA,60,NA
14-Sep,Palm Springs,NA,NA,921,512,262,2283,907,453,413,461,721,NA,916,89,8425,551,5205,688,153,2836,NA,68,NA
14-Oct,Palm Springs,NA,NA,900,504,268,2346,989,465,398,479,749,NA,922,95,5535,519,5406,732,149,2750,NA,105,NA
14-Nov,Palm Springs,NA,NA,919,511,273,2412,1063,440,374,480,756,NA,940,94,5545,442,5384,756,152,2755,NA,112,NA
14-Dec,Palm Springs,NA,NA,881,513,274,2420,1183,431,373,509,731,NA,911,95,5629,462,5379,758,151,2774,NA,153,NA
14-Jan,Rancho Mirage,NA,NA,127,38,90,925,31,147,184,210,440,NA,377,124,2146,1070,2334,325,NA,NA,NA,16,NA
14-Feb,Rancho Mirage,NA,NA,142,40,93,914,30,146,187,218,418,NA,383,129,2170,1074,2367,322,NA,NA,NA,20,NA
14-Mar,Rancho Mirage,NA,NA,136,41,87,931,31,148,185,214,420,NA,379,133,2158,1083,2384,328,NA,NA,NA,17,NA
14-Apr,Rancho Mirage,NA,NA,150,22,93,935,19,153,172,207,403,NA,373,128,2184,1066,2516,331,NA,NA,NA,8,NA
14-May,Rancho Mirage,NA,NA,160,31,95,922,17,156,170,194,391,NA,362,132,2185,953,2597,312,NA,NA,NA,8,NA
14-Jun,Rancho Mirage,NA,NA,160,25,92,923,17,154,174,208,394,NA,357,124,2133,702,2549,313,NA,NA,NA,7,NA
14-Jul,Rancho Mirage,NA,NA,144,26,100,907,11,154,149,202,406,NA,347,112,2179,639,2377,305,NA,NA,NA,6,NA
14-Aug,Rancho Mirage,NA,NA,145,20,103,892,12,149,149,201,406,NA,348,113,2206,633,2340,310,NA,NA,NA,8,NA
14-Sep,Rancho Mirage,NA,NA,141,18,105,893,12,141,141,188,400,NA,367,128,2189,649,2405,311,NA,NA,NA,18,NA
14-Oct,Rancho Mirage,NA,NA,147,23,98,936,10,137,144,162,425,NA,374,127,5195,804,2454,316,NA,NA,NA,13,NA
14-Nov,Rancho Mirage,NA,NA,141,23,95,958,11,138,143,169,427,NA,380,129,5215,1081,2513,349,NA,NA,NA,22,NA
14-Dec,Rancho Mirage,NA,NA,135,21,99,954,10,147,142,167,416,NA,374,122,5241,1088,2564,363,NA,NA,NA,24,NA
15-Jan,Cathedral City,NA,NA,663,55,80,2565,44,82,275,191,73,NA,856,NA,970,108,1239,761,NA,856,NA,41,NA
15-Feb,Cathedral City,NA,NA,640,56,85,2586,43,86,306,187,88,NA,844,NA,988,117,1250,780,NA,856,NA,39,NA
15-Mar,Cathedral City,NA,NA,614,54,84,2562,43,86,305,182,86,NA,833,NA,977,122,1293,863,NA,855,NA,32,NA
15-Apr,Cathedral City,NA,NA,628,57,91,2619,40,85,310,188,90,NA,881,NA,1002,121,1470,766,NA,856,NA,47,NA
15-May,Cathedral City,NA,NA,676,55,87,2651,40,89,306,186,86,NA,875,NA,1020,122,1429,727,NA,855,NA,46,NA
15-Jun,Cathedral City,NA,NA,718,51,89,2588,42,83,321,183,86,NA,846,NA,1030,119,1389,654,NA,858,NA,49,NA
15-Jul,Cathedral City,NA,NA,739,51,96,2613,40,91,334,176,86,NA,868,NA,979,143,1302,695,NA,886,NA,41,NA
15-Aug,Cathedral City,NA,NA,761,52,93,2599,37,86,345,180,88,NA,888,NA,1036,148,1276,647,NA,889,NA,52,NA
15-Sep,Cathedral City,NA,NA,787,51,90,2572,36,77,349,190,88,NA,857,NA,1046,150,1306,639,NA,892,NA,59,NA
15-Oct,Cathedral City,NA,NA,871,49,90,2308,42,65,362,184,99,NA,877,NA,954,175,1406,727,NA,902,NA,57,NA
15-Nov,Cathedral City,NA,NA,920,53,89,2365,44,70,366,185,94,NA,896,NA,905,177,1458,764,NA,894,NA,54,NA
15-Dec,Cathedral City,NA,NA,582,50,87,2353,45,66,388,183,96,NA,875,NA,929,178,1459,757,NA,901,NA,57,NA
15-Jan,Coachella,1950,NA,352,738,289,1157,37,NA,71,69,38,NA,117,4,435,NA,546,86,NA,2325,NA,14,NA
15-Feb,Coachella,1640,NA,357,736,286,1163,33,NA,74,76,40,NA,115,4,437,NA,590,89,NA,2317,NA,25,NA
15-Mar,Coachella,1744,NA,336,751,277,1197,39,NA,75,78,40,NA,109,4,432,NA,593,87,NA,2312,NA,27,NA
15-Apr,Coachella,1968,NA,306,759,282,1180,40,NA,75,73,38,NA,412,4,428,NA,613,105,NA,2354,NA,16,NA
15-May,Coachella,2304,NA,296,778,281,1180,45,NA,73,72,30,NA,104,4,434,NA,644,112,NA,2346,NA,16,NA
15-Jun,Coachella,2960,NA,311,776,286,1179,57,NA,72,74,29,NA,113,5,430,NA,637,113,NA,2320,NA,16,NA
15-Jul,Coachella,2355,NA,338,765,287,1192,48,NA,72,69,29,NA,108,4,431,NA,654,112,NA,2344,NA,26,NA
15-Aug,Coachella,1914,NA,342,758,280,1165,45,NA,72,71,28,NA,110,4,425,NA,621,92,NA,2359,NA,20,NA
15-Sep,Coachella,2327,NA,350,753,289,1160,47,NA,73,67,17,NA,104,4,429,NA,618,93,NA,2386,NA,17,NA
15-Oct,Coachella,2278,NA,346,754,280,1173,44,18,72,70,27,NA,105,4,412,NA,580,110,NA,2390,NA,26,NA
15-Nov,Coachella,2155,NA,331,760,279,1198,29,17,70,75,26,NA,102,4,413,NA,567,106,NA,2406,NA,17,NA
15-Dec,Coachella,2203,NA,343,769,277,1226,37,18,74,71,26,NA,105,4,409,NA,583,99,NA,2393,NA,17,NA
15-Jan,Desert Hot Springs,NA,NA,251,17,26,504,28,NA,NA,76,61,NA,94,NA,932,101,714,48,NA,678,NA,17,NA
15-Feb,Desert Hot Springs,NA,NA,258,16,23,503,28,NA,NA,80,67,NA,93,NA,943,103,721,46,NA,679,NA,24,NA
15-Mar,Desert Hot Springs,NA,NA,257,16,24,517,30,NA,NA,82,62,NA,108,NA,949,105,744,47,NA,677,NA,26,NA
15-Apr,Desert Hot Springs,NA,NA,274,13,24,511,29,NA,NA,80,65,NA,109,NA,954,97,710,50,NA,668,NA,20,NA
15-May,Desert Hot Springs,NA,NA,275,11,26,503,28,NA,NA,82,50,NA,91,NA,966,96,715,49,NA,666,NA,25,NA
15-Jun,Desert Hot Springs,NA,NA,266,10,29,510,28,NA,NA,76,42,NA,119,NA,970,92,704,49,NA,665,NA,26,NA
15-Jul,Desert Hot Springs,NA,NA,275,8,26,503,29,NA,NA,77,39,NA,97,NA,940,87,670,47,NA,693,NA,29,NA
15-Aug,Desert Hot Springs,NA,NA,285,7,26,517,29,NA,NA,74,51,NA,103,NA,965,84,662,43,NA,698,NA,27,NA
15-Sep,Desert Hot Springs,NA,NA,270,6,27,517,30,NA,NA,70,47,NA,103,NA,978,89,665,50,NA,699,NA,26,NA
15-Oct,Desert Hot Springs,NA,NA,270,10,28,514,32,NA,56,75,35,NA,162,NA,932,93,680,53,NA,688,NA,43,NA
15-Nov,Desert Hot Springs,NA,NA,267,18,28,509,30,NA,54,82,38,NA,134,NA,928,104,713,52,NA,689,NA,44,NA
15-Dec,Desert Hot Springs,NA,NA,265,12,27,510,29,NA,57,77,48,NA,115,NA,938,105,715,54,NA,690,NA,27,NA
15-Jan,Indian Wells,NA,NA,21,NA,NA,64,NA,NA,177,57,132,NA,251,NA,175,1049,1468,119,NA,NA,NA,6,NA
15-Feb,Indian Wells,NA,NA,18,NA,NA,64,NA,NA,178,52,129,NA,236,NA,180,1082,1723,109,NA,NA,NA,6,NA
15-Mar,Indian Wells,NA,NA,17,NA,NA,58,NA,NA,182,57,129,NA,265,NA,183,1228,2052,116,NA,NA,NA,6,NA
15-Apr,Indian Wells,NA,NA,10,NA,NA,61,NA,NA,183,54,133,NA,254,NA,181,959,1533,125,NA,NA,NA,8,NA
15-May,Indian Wells,NA,NA,10,NA,NA,61,NA,NA,184,53,134,NA,231,NA,174,791,1512,122,NA,NA,NA,8,NA
